sentence,label
thankgod me bach gai waheguru thnkjuu sare engineer dhakke kha rahe hai ajkal kutto ki tarah .. 3 lo sci na na llo or lo,0
Akdam kick ke jesa,2
"wo sahi tha . . . "" pilau tuze pani . . "" . . :p",2
#indvssa 7th wicket gone for sa!!!!!! brilliant bowling by ashwin!!!!,2
Bajrang bali ki jai,2
"can i join the admins in maintaining the page ? ? i am currently in my 3rd year now , and can speak/write fairly good english .",1
10 lakh ka suit wale khadi nahi pahen sakte . uncomfortable hota hai . vase chai wale jaror pahen sakte hai . kya hai majra aur kya hai hakikat .,1
Jst hate fc classes !! Dnt knw y we r being taught maths n history classes n all even aftr taking eng . Hons ( ... bullshit !!!,1
bj penn vs . nick diaz replay on fueltv ! i'd pay to watch it a 2nd time !,2
"@someUSER :( for what it's worth , i thought the finder was a funny , clever show . sad it didn't even get a 2nd season .",0
Bhai kia karne arahe ho,1
Aap shadi kab karoge yaar :(,1
Thats why i tried calling you? ?,2
"expect light-moderate rains over e . visayas; cebu , bohol , samar &amp; leyte have 30-70% chance of rains tonight ! expect fair weather tomorrow ! :)",1
hamara teacher to copy k liye ghar bhej deta tha ek class fellow k sath aur kehta tha mujhe maloom hai tu aa kar kahega ki mommy ghar par nahi hai aur ghar lock hai,1
Mee atalji ko bahat pasand kiya tha. Unka adarsh great tha. Uske bad app ayee sir i salute you,2
Mtlb tu kh ra h ki tiu mre se bada Jordan h,1
good news dear,2
give him a call and tell him his worth ) dont waste time posting it here ) all ur parents need is a word to know how special they are for u ),2
sari earth ke faadu sticker lagey hotey they ullu bananey ko . . . grrrrr !,0
"activists demand release of jharkhand tribal leader: new delhi , nov 1 (ians) condemning the arrest of woman trib . . . http/URL",0
Hurr? ?,1
garbage bin bhai batao na mera comment pahla hai na :(,1
admin itne din me q post krte ho,1
Ok sallu bhai,1
un sabko maine or meri CID team ne hi ander dala ha ),1
delhi walo sawdhan ho jao. ye kejriwal is agent hai. delhi ko mullo ke haatho nilam kar dega.,0
bhai tum shahi ho,2
i have a strong sense for who this guys might be ( not 100% sure though ) . and looking at some of the past comments you should be able to at least make a good guess .,1
but the bottom line is that he still has a chance to get lucky . . . unlike you ! :d,2
bjp to introspect on unexpected defeat: #satishupadhyay http://t.co/77zr3pw5fe #aapstorm #aapsweep #aapkidilli #delhidecides,1
guddu ki to halat kharab hai . . . . . . use to ab itni garmi lag rhi hogi jitni ki delhi ki summer me lagti h . . . . . . . . :p :d,2
Silver colour h,2
beef-legging the answer to maharashtra's #beefban woes?,1
ye pakistan k log vaise jokers bankar ku bethe h :-/ :o,0
"hahaha , muje aaj he pta chla tht he z a batsman basicaly , aj tak mje lgta tha he z a spinner . Lol . N yea uski shakal srsly kisi bndar ki copy lgti h .",1
ME AAPKA BHOT BHOT BHOT Bd fan hun,2
Shadhe karlo bhai,1
shabash . . . . ! ! ! ! !,2
Aata hu to launga,1
Sir kaise milega reply ;-( itne logo mein,1
bodoland boy ki tarapse ak nomste . ak jindabad .,2
Hum bhuke mur rahe hai sir,0
rt @amusednawab: #landacquisitionbill krishi pradhan desh sunte sunte kaan se khoon nikal aaya. industry pradhan kab banega?,0
Are waise .,1
Abhi gussa aata h baad m hm yaad Bhinhi aayegye ??,1
Hi salman I wnt ur pic wid ur autograph.am ur big fan.my qustn is aap aisa kya krte h ki apki kbubsirti din b din badhti hi ja rhi h.,2
Or me bhi indian hu kon hota he ye jo musalman ko gali de or khud ko musalman kehta he jaheel,0
"police aur master ke haath me danda dekh kar aadmi actor , surgeon , lawyer sab ban jaaeta hai . . . :-p",2
i agree with you kamal poddar . . .,2
last night i thought about one of my guy friends in meta while touching myself . i couldn't look him in the eye today . . .,0
Chl dhyan rakh le yar,0
Bhai apks bazrangi bhaijan movi song verey nice,2
Apke ashirwad sw,2
my mom is watching sasural simar ka :'(,1
"thand kitni bhi ho , cycle race jarur hoti thi :-p",1
#aapsweep how does a common man becum a chief minister without becoming a politician? he has 2 b ak either @anilkapoor or @arvindkejriwal,1
"hmm , i think i am living the movie ground hog day , grandma jan and isaac are back again this weekend",2
"m sirf doordarsan hi dekhta hun us par bhi sirf pavitr bandhan , , ,",2
Sala hrami muslmano ka dushman badnam kiya hai Muslman ko kalank hai kabrustan mai tera paisa kaam nahi aayega balki #aamaal aor sabse pahle #imaan #pakka hai ya nahi,0
superstar salman bhai,2
Koi batao salman se kaha bat hogi please,1
Ha 2 4 pav ...,1
kha par bhai,1
bhai ball lagta hai maruti gold ki hi hai . .,1
and i totally expected rahul gandhi to be on trends.. :) :p #aapkidilli #delhidecides,1
ian chappel greg chappel n indian chappal . . aaj teeno ko tv k saamne hi rehna hai . .,1
Acha acha sahi hai,0
six in one wala best hota tha,2
"Efforts mat laga , tera kabhi koi boyfrnd ni ban sakta ...... /",0
"best memory of my childhood , , , , , sega video game . . . . . :p",2
delhi has voted for idealism without deciphering the ideology #delhidecides,1
phle to timing 3:30pm thi,1
Toh kya decideg kiya,2
d guy cmmtd suicide ..... ye nhi dikh raha kisi grl ko ...... thnk abt d crcmtances .....,0
a place in the sun . presenter: orange and lemon trees too person:that's our breakfast ! what the ? who has oranges and lemons for breakfast ?,1
apke gags ke wajah se hi hum jinda hai warna husne ka bahana aur bacha hi kya tha,0
tu du m proffesor kyu ni bn jata b.c ;),0
Salman bhai..... Ki haal chal,1
yeah ! ! doing same thing :),2
hindu Muslim ke naam pe paisa kama raha hai salman khan.. shame..,0
"guddu english movies dekha kar , kripa whi se aaegi :d",2
essay jayada to dukandar ke pass hota h,2
itna kya khash h isme jo hamme ni,1
Kaise ho aap papa sorry hum sogaye the abhi uthe h thodi der kardi na hum ne but koi baat nahi abhi baat karte hum dono haa.,1
Han muje b lag ri thi,0
"bjp-dost fail ho jaye to dukh hota hai, dost first aa jaye to aur zyada dukh hota hai. #aapsweep #aapstorm http://t.co/gdyelclzky",0
hahaha mast hai bro . . . school summer vacation ki yaad dila di . . . . .,2
bhai ye naam udbilaoo kaha se sucha :d jabardasth hai ! ! bhai ye naam tumhare dimag me first time kaise ayaaa iske piche ka secret btaooo !,2
pure bachio ki jaan lena hai kya aise pics dekha k,1
bhaijan eid mubarak,1
jai ho hinglish mata ki . . . :d,2
"@someUSER @someUSER - chaps , i'm still working on the pix from saturday v blaydon . should be uploaded later tonight- phil",1
gareebguy: mere paas tv nahi hai par bacche bohat hain. woh maalik ke ghar se dekh ke aake mere saamne same khel ke dikhaate hain. #indvssa,1
Han di..,1
Didi. Abhi rmto akka nahi hai ki kab aaunga..,1
Mun kaha hori h ?,0
???????? ???? ????? ?? ?? ??? ??? ?? ??? ??? ????? ?? ???? ???? ???? ?? ?? ???? ??? ?? ??? ??? ??? ???? ?? ?,1
"@someUSER two birthday cakes ! one with jelly beans ! i wonder what kind of birthday cake the 2nd one was ? goodnight kina , emi , and misa .",1
"Hum sath sath sath sath sath hai D Yayayayyayay ! 77,777 now . . * Geeli wali puppy to all * *",1
"Visit to gynae n kch paise khila yr .. Secret rahega sub ., n tu ladka hi h na itna darta ku h ?!",1
Aur puucha ke fourthg memberg kaha hai ? ?,1
bhai aap tension mtlo humlog aap pr bht trust krte hai yeh films sab ki 300 crs kmayegi ...,2
they better take joe pa to the pet semetary . . . they may never win agdin,0
super duper like . yehi hota hai sab jagah :),2
sirjee last tym ke muddo ka kya hua,1
it's like groundhog day . 2nd day here . (@ chirping chicken) http/URL,1
"car race , yai yaar kungfu , contra , spec mario , karateka , & the best one ninja turtles . . . . love those 64 bit games . . . .",2
#aaj #sabhi #superhits film.dekhane chale #bbthiseid #superdupar film,1
@gurmeetramrahim #blockbustermsg jaise papa g ek satsang ol sunna and ek dera aa k ru b ru aapko direct sunna ush mai mza kuch alag hi hai,2
"Sir, Middel Class ki iteni postion kaha ki aap ke saath bat kar sake wo..driect... Salman Khan Sir.",1
good old days . . . . . :d :d :d,2
breezin' won the best pop instrumental performance at the 19th grammy awards,2
kya baat hain,2
"rt @sonusachdeva07: #msgyouthicon ai meri jindgi k malik mere dil pe apna hath rkh de,khi tujhse milne ki khushi me mera dm nikl na jae",1
main filhal ghr ja rha hunn,1
kisi ki mat suno bs meri suno un dono ko dhakka maro or mujhse setting kr lo n i'll never brk ur trust ... B-) -P,0
"lady gaga fears classmates: los angeles , nov 1 (ians) singer lady gaga is still in touch with some people from h . . . http/URL",0
Okk boss apka hukum ser ankho ma:),1
I blv u... Kp shining ma luv.. TZ luvs u.. :) :*,2
Sallman to bhout sir pakru chinal ka hai,1
Kiski shadi h bhaiyya?,1
Yaar baj gaye bhai....reply?,1
ptaa h mjhe,1
"this doesn't happen always in all cases kyo , teachers ko badnam kar rahe ho ?",0
#307 I once stole a campusite's laptop and sold it online . Bought a lot of goodies that month . I'm not sorry .,0
tumhari pic m roj dekhte h..,2
rt @usharani0855: be a part of humanity work and spread love among all is what makes #msg3successfulweeks,2
@Rishita Rastogi . Fimly owl uses common phrases . This hinglish+en_suffix is delhi style . ),1
"@someUSER @someUSER @someUSER keep yr eyes open for incursion . it may not be spartacus , but it's going to be out of this world :-)",2
sir mujhe koi q nai karna plz aap mujhe apna number dijia na bhai plz,1
Kya yar hum Milne aaye or aap to mile hi nhi,1
hota hai yaar jo dumb hote hai unke sath aksar hota hai . . . .,0
tell her to be ur frnd first make ur frndship strong ! ! best of luck ! !,2
10/3 is answer of the question on board . baaki ka guddu aa kyu nahi raha wo to aap log bhi samjh gaye honge :p,2
tabhi me mummy se bola mammy mera bhara hua he . or kya woh akhri loan sanction huyi bachpan me .,2
Isna Muslim ko chalang kiya ha iska movie koi. Mat dekhna agr tum sab Muslim hoga to nhi dekho ge,0
wonderful show . . jaroor dekhiye,2
kaha ho bhaijaan...???,1
Bhai jaan k se hai ap ghar wale k se hai ya film bajrangi bhaijaan qameebi ho gayi mujhe ko i d me add krna ha apko Ramzan ap sub ko Mubarak ho. Saad Khan pakistan Karachi .,2
sabhi . . . :p kaun chodega yaar ye match dekhna . . :d,2
u knw we always ryt ;P chahe sahi chahe galat P tum kuch nhi kr sakte ladko v,1
Han han,2
Yar aise ni hota kuch ache ladke bhi mai apni bat ni karra mere dost h jo ladkiyo ko bhut achi tarah treat karte h please trust some of dem not all men are dogs+en_suffix,2
sojao pooja salman nahi aanewala hai kyo rat kharab karrhi ho tum,0
ye to srinivasan bhai ki kripa thi ki isk jaisa chutiya indian team ka captain tha . .,0
agar government ek baar saare bhikariyo ko iphone free me baant de to . . . india ke bahut saare log bevkoof ban ne se bach jayenge . . jo sirf naam ke karan phone kharidte hai .,1
"Nice , Somesh Yadav come up with some fancy quote and say that you can't measure anything . C'mon , you know what better looking and hot means .",0
"aur to aur jo bhi ladka "" topa "" laga k aa gaya uska naam "" baba ji "" pad jaata tha . . . . =d =d . . . . fir bhi kuch bhi ho . . . mazaa zindagi ka tabhi tha . . . . "" apni hi dhun mein chalein hain , duniya se kya lena hai """,2
Jai ho bhai.,1
kaise sooch lete ho yaar . . .,1
rt @meenahisar: @gurmeetramrahim #msgrevolution #msgyouthicon its only by ur grace,1
Us ladki se pehli baar gatar k pass mila tha kya jo tujhe mosquito kaat gaye . And malaria ho gaay,0
u r anarchist . hate u kejru . and also against industralization .,0
yeh toh mene bhi kiya tha,2
kaha gaye sir,1
"#aapsweep #aapstorm #delhidecides @rashtrapatibhvn gifted ""constitution of india"" book to @arvindkejriwal any guess why ??",1
"remember cupid at convo last year with the bomb candy bar ? ? if you liked that , you'll love next tuesday's tr http/URL",2
you may think you've tried them all but i'll bet you haven't tried taking on the challenge . . . stop wasting time . . . http/URL,2
"faisal bhaiya , ye bharva bhindi ko english main kya bolte . . . . hahahahah , mujhe to iske aage ki story sonch sonnch kar hansi a rahi . . . . . :) :)",1
i want tickets to the thursday game heat vs knicks (game 3) hmm . . .,1
"Hello salman jee, , Eid mubarak",1
"all 49'ers fans , go vote for @someUSER for the 2013 pro bowl . http/URL you may vote as many times as you like .",1
Ek baar reason batayega kyun nhi karna,1
"if you have a clue know who this guy is , tell us , we have been trying to find out too . . .",1
bhot acha ji.sb lo apne apne crush k cnfsn krte h.bt+en_suffix ye cnfsn bhot mast h,2
modi 9 mahina ho gaya kaladhan kab ayega ab jada fekana mat delhi wale aap ki pol khol de hai,0
yeay . . hopefully runman ep 91 with eng sub will be out by tuesday . . . can't wait to watch it ! ! ! go go go yooruce willis . . . yoo jae suk jjang ! !,2
rohini romita . . . kahi sunni hui story hain na . . .,1
heloo sallu bhaaaaayi,1
kyu,0
SALMAN bhai ap tenshan mt lo apki movei supar dupar hit hai kuch m k l or kuch b k l hai jo apni (G) mra rhey hai or jo mra rhey hai vo bhi apki movei dekey gey mgr adath hai na suleymani kida jo ghusa hai......:),2
Bhai kuch to bta,1
"wppi and vegas bound , but have to be up tomorrow at 5:30am , s . o . l . . . . maybe catch some zz's on the plane .",1
Mera placement hone do,2
"in ls election u say , "" jeetu ya haru but i do seva of kashi "" , . . . . kya bs jeetne ke liye jhooth hi bolte rhoge . . . . + vaise jo adami satta ke liye apne bachhon ki jhuthi kasam kha skta h uske liye ye choti si bat h arvind kejriwal",0
excited about the bump in ram for raspberry pi . such a nice surprise for a monday . : ),2
@gurmeetramrahim #msgincinemas gud morning papa ji msg dekh kar hum sab ne bahut enjoy kiya aap ko dekh kar sach main pyar hi ho gaya hai,2
acting and nautankiyaaying me bohot bada difference hai . :p,1
sar in pakistanio ka kuch kijiye...... kuch pakistani log daily aapka naam lekar india walo ko gaaliya dete h,1
master ke saamne bheegi billi aur baad mein sher . . . bahut kamina hai ye baalak :p,0
4 baj gye sir,1
Han batau,2
bhai mera rply jarur krna pehle hi bta du ;-),1
on to the 3rd movie - acts of valor . this time we have corn dogs .,1
lol really these chip games . . . sala ye backchodi b kitni ki h,0
"hahaha . . . :d bhai mast creative banda hai tu :d and "" mungerilaal "" :d :p",2
@gurmeetramrahim #msgincinemas dhan dhan satguru tera hi aasra pita g.mere te mere saare parivaar walo msg diyan bhut2 mubarka g.rehmatkarna,1
dat means she iz your sistr hmmm ? kch nhe ho sakta bhul ja usse,0
rt gurmeetinsa777: gurmeetramrahim #msgincinemas pitaji dayamehr rahmat kro sab ko sumti do simran ki sakti do http://t.co/cf2w0fuwoa,2
"agar aisa hota toh mein class ka champion hota , game khelne k chakkar mein bahut maar khayi hai :p",2
oooo ! grandfather bas ab nahi kitna natak karoge,0
Me tumari movie nahi dekoga jabtak ke app mujse batnahi karte,0
dnt gve second chance . iske kya guarrnti hai k woh dobara aisa nahe karege !,1
rt @insan_neha: #msg3successfulweeks wondeeeeeerrrfullll craze still maintained.,2
"gali ke bandar ye samajh na paye, ki kab gaaye hindu aur bakra musalmaan hogaye. #beefban",0
yeh bollywood badi hee ajeeb jagah hain : din mein peta pe nibandh hota hai aur raat mein #beef ka prabandh hota hai. #beefban,1
Sallu bhai aapka no.... chaye,1
how sweet ! (y),2
fact of the day; halloween night is papa john's second busiest night of the year behind super bowl sunday .,1
ye kasana pehle udbilao family ke saath hi rehta tha,2
Pyar to dkho bete ka ... paisa paisa aur sirf paisa ...... how mean ...... /,1
dhanyawad dd1,1
lala ki jald se jald le leni chahiye *wicket #indvspak,1
"welcome *""*'*'*'*'*'*bajrangibhai jaan*'*'*'*'*'*'*""*'*'*superhit movie*""*""*""*'*'*'*:welcome fance party*""*'-'*'-'*'*""*'*superr*'*'*'*'*'*'*'*:*duper*""*'*'*'*'*'*best*'*'*'*'*'*'*'*'*""*:very nice*""*'*'*:*'*bajarangi bhai *""*'*'*""*'*'*'*bajarangi bhai *'*""*""*""*'*'*'*'*bajarangi bhai*""*""*'*'*':'*:*'*hit*'*""*'*'*:hit*'*""*'*'*'*'*'*'*hit*'*'*""*'*'*'*super actor&actress*""*'*'bajrangibhai*""*'*'kareena *'*'*'*'*best *""*""*""*'*'*""*'*watch movie later-id-ul-fittar*""*'*'*'with*""*""*'*'*sallu*""*""*'*'*':'kareena *""*'*'*'*'*bajarangi bhai jaan *""*""*'*'*superstar*""*'*'*'::",2
"i wish i was out md i wanna bear on negros shit is fun , going out sunday to ross snighter sunday finna pop off on twl",2
wrong number hai baba ramdav,0
"@someUSER the 1st thing that came to mind was something from flatbush zombies hahaha or omg , biz markie . or ol' dirty bastard &gt;:)",1
rt @main_bhagwan: thoda patience rakho. thoda mujh par bharosa rakho. 50 overs ka game hai. bahut time hai. #indvssa #cwc15 #bleedblue,1
"agr kisi ko DU , me jugad se admission chahiye to !! bta dena !!. . . u will get ur commisn !!",1
Weka tak nai chalra,2
I am not a real fanatic of Apple.,1
"off to bed with sexy mr man , tomorrow morning watch out galveston here we come just made 100 jello shots",1
@someUSER gutted . takin mrs 2 her 1st eng game then . she loves the dive fella . cocky git ! wish u well 4rest of internationals .,2
we want kiran bedi,1
Kuch nahi yaar abhi sokar utha,1
@someUSER would you be up for full day of movies at mine on thursday ? :p so far tarzan and the notebook is on the list xd,2
this thursday night football game sucks . but go chiefs ! i just want to see hot head rivers explode on the sideline tonight .,0
Yo di,1
people been lined out for this gold pack since wednesday night at the florida mall . . . smfh,1
kidher hoo sirrrr,1
"game k mamle , me top . . . padhai me phussssss",0
Sahi h,0
"3g , coalgate se bhi bada scam ! !",0
yeh aam aadmi ki jeet hain...#delhidecides #delhielection http://t.co/tvwnyqiuzu,2
"@daniyaafzal: dilli hui hamari ab up ki baari #aapsweep #aapstorm hahaha ye zyada ho gaya,, or behanji ka kya karenge ??",1
awssmmm movie salman sirrrr super salman sirrrr,2
drama king guddu :d :p,2
Hlp me bhai plzz help me,1
han theek kaha but har ladki ek jaise nahi hoti i know kuch girl aisi hoti hai jo money par depend karti hai but saare ladke bhi loyal nahi hai 50% ladke ladkiya dhokebaaz hai,1
picture mein sheer dikhtay hoo aur real mein maha sheer sallu,2
Salman Khan bhai ap ko likes or comments km milte hain shah rukh khan ki nisbat,0
orr sala inka wo circus tooi . . . tooi . . tooi bakwaaas,0
Kaise ho bhaiyya,0
Mast chele g,2
iske rough mai jhoola bhi tha . . . rough ka apna maza hai . . . ^_^,2
Jaise apki marji,1
dono ladkia tuj se tym kr ri hai tru hoti to tere 2 thapd mar k side kr deti,0
desh ko sambhaalne ke liye educated personality chahiye naa ke illiterate jo us president ke aane par dono countries ke relations discuss karne ke bajaaye apne kapdo se michelle obama ko impress karne me laga huwa tha . . . . .,0
@msgthefilm #blockbustermsg.superstar papa di rehmt naal msg 500 crore to jyada kamao..sare record msg de naam honge..sade papa hi superstar,2
great piece on joe cole's demise in tomorrow's independent by @someUSER cole was the first england player who was younger than me,1
Hello sir ji salmaan ji itna late kyu ho rha hai plz jaldi reply kro plz i m waiting for ur response,1
rt @photogurdeep: #msg3successfulweeks speak itself ... wat it is!!! apparently it is not getting down critics' throat!!!!,0
wah ri media ab ek ek aadmi ki kahani chhap rahe hai . . . . . desh me aur kitne bare bare kand ho rahe hai udhar dhayan nahi mahila ki beijjti kar di ye khabar hai . . . . . . hahahaha . . . . dhanay ho hamari media . . . . .,0
modi ji ka pm banane layak dimak hai yaar,2
apna chehra dekh pahle,0
all the best . . . . . jeet jayenge . . . . . . . . . koi shak ?,2
@someUSER @someUSER i'm back in rugby on a sat but if i do play it will have to be before 10 like !,1
i wish meri ye wish puri ho jaye....,1
Saale,0
the epic insult when u ask - may i come in sir ? and someone from staffroom says - no,0
"kya time yaad dila diya yaar tuney . main to hamesha agey hi khada hota tha , jab se hosh sambhala :d",2
good guddu sahi ja rha h . ladka tarki me hai ;) :),2
"hum jb bhi chalk late the aadhi to apne pocket me jati thi , fir ghar jate time bus me se bahar sabko chalk peices maarte the , kya yaad dila diya yar . . . u know u r amazing :d :d",2
Yo yo ka song hona chaiye tha,1
@someUSER hey the best was when you said obama put out his smoke on bidens forehead on ash wed,2
pk movie review: movie that you cannot ignore http://t.co/oxxqeqm4pb http://t.co/s87l3n0haq,1
just found a piece of candy that may have been injected with something . #why,0
i dont understand whats the problem of this media with hinduism . what do they want ?,0
"@adagio_aria how he can, the overall score is just 102 #indvsuae",1
Bas abhi dinner karke aata hu,1
"Salman always kind heartnt cmpairjo log muslman ,hindu kr rhe hun logo ki nichi soch pe mje gheenn aati h yr",2
mein sochta hun log itne talented comments kaise marte hai ?,2
"#279 My best moments at IITB were while peeing standing at the skydeck on 6th floor of H14 , aiming towards some poor chap sleeping on the 4th floor Skydeck during summer nights . . .",0
abhi$hi ke liye jitna existing h$hi itna hi karte h,1
@gurmeetramrahim #msgincinemas thanksssssssssssssssssssss jaaaaaaaaaaannnnnnnnnnnnnnnnnnnnnnn i love uuuuuuuuuuu,2
"See the level of people doing phd , i dnt know wat shit they will teach to students ?",1
bs kr . . oyeee rulayega kya :v :p #santi_kr_ditta :p,0
friday is cold but here . how are you guys doing ? win evanescence tickets plus stone sour's new album in about 15 minutes . . .,2
epic haii ye toh; yar kahan se laate ho aise nayaab ideas . . . :p,2
indian morons were more interested in #beefban rather than #rapeban.first save women then talk about cows #shitindianlogic #nirbhayainsulted,0
I hope yeh kisi Mata Sundri wali ne na daala ho .,1
in cheezo se bahar nikl k dekho aur b bht kuch h life m /,2
"-P aaj ka kaam kal karo , kal ka kaam parso , itni b kya jaldi h jb jeena h barso",1
oh completely forgot that the back button on the irctc website does not work. someone took this up? i'm sure not. sigh. #railbudget2015,1
parents can do anything for their children . . :*,2
was hoping for an unlimited wifi allowance. #unionbudget2015,1
Bhai plz aao jaldi,1
Fav..food kya hai,1
4 more days to go and we're off to the @someUSER london conference on saturday - we're excited to network with other youth councils again !,2
tab to world cup har gai,0
Upar,1
"hello @mrsgandhi :) nau lakhiya paridhaanon ko, do takiyaa muffler nigal gaya :) #jiyohazarosaalkv #delhidecides http://t.co/7ppweqnm5v",2
"arre yaar , me to samjhta tha ke ye saare kaam puri duniya mein mere school mein hi hote the",1
"excellent agendas carry on this will be last agenda for political party , public will choose nota",1
Sir bajrangi bhai jaan may Ali quli mirza aur Najeem khan hai,1
roz rulane ki kasam khayi han is confession ne .. P,0
"i might go to pierce the veil at northern lights (sold out) in albany , ny - oct 31 http/URL",1
12 30 rajiv chowk,2
Sona last time tu jab ayi thi tab kitna kuch kiya bas ab 1 chij bach gya hai tu aa ja jaldi plzzzz,1
aby guddu kbi to sudhr ja yr . .,0
i need another viv necklace . . . may buy myself one for valentines day #nojoke,1
"this is the india . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ? ? ? jantta rocks other party shocks , , , , , , , , , , , , , , , , , we , salute kejriwal ji my vote",2
Han ..,0
bhai ka uper cmnt aya he,1
Alisha sallu hat ni aane vala the sapne dekhna band karo,1
old man pagla gaya hai,0
Swachchh bharat aviyaan ke liye danyabaad....,2
okkkk,1
phone number verify karao,1
"@someUSER it's not fair , dear . . . #truthbetold will be available in taiwan on 2 , nov . it's tomorrow ! !",0
Woh toh sikhna hai,1
aaja sham hone aayi,1
Shivanibis a gone case now mam,1
Onlyg cashg,2
kuchh naa aa raha tv pe award function ke alawa ! ! ! ghanta ! ! new year isse achha to dd2 yaa dd metro tha,0
jai ho ak,2
frame dekh kr asa lag rha h guddu or shaan school bunk kr ke cricket khelne gay h . . . . .,0
wow nice smile i like ur smile,2
sutron se pata chala hai kal afridi ke ghar pe ande fenke jayenge. #indvspak,1
@heyitsme_adb mazza to ayega... chahe jo bhi ho..... #indvspak,2
Ghanta,0
haan yaar dimag kharab ho jata tha . . . i remember my frst cassatte jisme snow bros bna tha n nikla circus n tank . . . .,0
Me*,2
15 . beti bachavo ke madhyam se women safety ko gmbhirta se liya hai,2
@srbachchan kattoyye....sir ji aap ki to #patang kat gayi.... #ahemdabad #shamitabh #kitefastival #makarsakranti #gujarat #amitabhbachchan,0
Aswlkm sahre hogye apki,2
Ek nai kahani dekhne ko behad utsuk hai.love you sallu bhai.bhaijaan.,2
if i can worship both buddha and krishna at the same time why can't i like both @arvindkejriwal &amp; @narendramodi ? #aapsweep #kiskidilli,1
Kiskoo,1
Koi tensn nhi,2
