sentence,label,clean-sentence
Mein smja nahi ,1,mein smja nahi
#railbudget2015 speed or nai train na suru karne ke alawa kuch khas nhi raha ... maalgadiyo ki tarf koi khas dhyan nhi diya gaya,0,#railbudget<NUM> speed or nai train na suru karne ke alawa kuch khas nhi raha ... maalgadiyo ki tarf koi khas dhyan nhi diya gaya
i should've been guarding parker on that last play .  he may have scored but i bet i would've been on the right side of the court . ,1,i should've been guarding parker on that last play . he may have scored but i bet i would've been on the right side of the court .
austin rivers just scored his 1st nba points with 6:48 left in the 4th you running with the big boys now son (my doc rivers voice),1,austin rivers just scored his <NUM>st nba points with <NUM>:<NUM> left in the <NUM>th you running with the big boys now son (my doc rivers voice)
thankgod me bach gai waheguru thnkjuu sare engineer dhakke kha rahe hai ajkal kutto ki tarah .. 3 lo sci na na llo or lo ,0,thankgod me bach gai waheguru thnkjuu sare engineer dhakke kha rahe hai ajkal kutto ki tarah .. <NUM> lo sci na na llo or lo
Akdam kick ke jesa,2,akdam kick ke jesa
Hloo salu bhai......,1,hloo salu bhai......
"wo sahi tha .  .  .  "" pilau tuze pani .  .  ""  .  . :p",2,"wo sahi tha . . . "" pilau tuze pani . . "" . . :p"
bai  g  kab  aooo  ge online,1,bai g kab aooo ge online
#indvssa 7th wicket gone for sa!!!!!! brilliant bowling by ashwin!!!!,2,#indvssa <NUM>th wicket gone for sa!!!!!! brilliant bowling by ashwin!!!!
Bajrang bali ki jai,2,bajrang bali ki jai
that means ur menu chart must also include salt n water .  .  .  . hahaha,1,that means ur menu chart must also include salt n water . . . . hahaha
"can i join the admins in maintaining the page  ?  ?  i am currently in my 3rd year now  ,  and can speak/write fairly good english  . ",1,"can i join the admins in maintaining the page ? ? i am currently in my <NUM>rd year now , and can speak/write fairly good english ."
Ram hi ram bhai ,2,ram hi ram bhai
the ravens release their first injury report of the week on wednesday .  sounds like it will be loaded with names: http/URL,1,the ravens release their first injury report of the week on wednesday . sounds like it will be loaded with names: http/url
10 lakh ka suit wale khadi nahi pahen sakte .  uncomfortable hota hai .  vase chai wale jaror pahen sakte hai .  kya hai majra aur kya hai hakikat . ,1,<NUM> lakh ka suit wale khadi nahi pahen sakte . uncomfortable hota hai . vase chai wale jaror pahen sakte hai . kya hai majra aur kya hai hakikat .
Jst hate fc classes !! Dnt knw y we r being taught maths n history classes n all even aftr taking eng . Hons  ( ... bullshit !!! ,1,jst hate fc classes !! dnt knw y we r being taught maths n history classes n all even aftr taking eng . hons ( ... bullshit !!!
bj penn vs .  nick diaz replay on fueltv !  i'd pay to watch it a 2nd time ! ,2,bj penn vs . nick diaz replay on fueltv ! i'd pay to watch it a <NUM>nd time !
"@someUSER :( for what it's worth ,  i thought the finder was a funny ,  clever show .  sad it didn't even get a 2nd season . ",0,"@someuser :( for what it's worth , i thought the finder was a funny , clever show . sad it didn't even get a <NUM>nd season ."
Bhai kia karne arahe ho,1,bhai kia karne arahe ho
Aap shadi kab karoge yaar :(,1,aap shadi kab karoge yaar :(
Vishwanath/eng ne mail bheji hai ,1,vishwanath/eng ne mail bheji hai
rt @jasbjp: taste ke liye kisi v had tak ja sakte hain. jaise koi rapist apna hawas mitane k liye kuch v kar sakta hai #beefban,2,rt @jasbjp: taste ke liye kisi v had tak ja sakte hain. jaise koi rapist apna hawas mitane k liye kuch v kar sakta hai #beefban
"expect light-moderate rains over e .  visayas; cebu ,  bohol ,  samar &amp; leyte have 30-70% chance of rains tonight !  expect fair weather tomorrow ! :)",1,"expect light-moderate rains over e . visayas; cebu , bohol , samar &amp; leyte have <NUM>-<NUM>% chance of rains tonight ! expect fair weather tomorrow ! :)"
hamara teacher to copy k liye ghar bhej deta tha ek class fellow k sath aur kehta tha mujhe maloom hai tu aa kar kahega ki mommy ghar par nahi hai aur ghar lock hai,1,hamara teacher to copy k liye ghar bhej deta tha ek class fellow k sath aur kehta tha mujhe maloom hai tu aa kar kahega ki mommy ghar par nahi hai aur ghar lock hai
"listen.bhagavad gita was a conspiracy hatched by brahmins in collusion with kshatiryas to enslave women,vaishya &amp; sudra.@komal3192 #beefban",0,"listen.bhagavad gita was a conspiracy hatched by brahmins in collusion with kshatiryas to enslave women,vaishya &amp; sudra.@komal<NUM> #beefban"
Mee atalji ko bahat pasand kiya tha. Unka adarsh great tha. Uske bad app ayee sir i salute you,2,mee atalji ko bahat pasand kiya tha. unka adarsh great tha. uske bad app ayee sir i salute you
good news dear,2,good news dear
"@gurmeetramrahim pita ji plz make me hardworking man nd do not waste time,give me blessings to do #blockbustermsg",1,"@gurmeetramrahim pita ji plz make me hardworking man nd do not waste time,give me blessings to do #blockbustermsg"
give him a call and tell him his worth  ) dont waste time posting it here  ) all ur parents need is a word to know how special they are for u  ) ,2,give him a call and tell him his worth ) dont waste time posting it here ) all ur parents need is a word to know how special they are for u )
sari earth ke faadu sticker lagey hotey they ullu bananey ko .  .  . grrrrr ! ,0,sari earth ke faadu sticker lagey hotey they ullu bananey ko . . . grrrrr !
"activists demand release of jharkhand tribal leader: new delhi ,  nov 1 (ians) condemning the arrest of woman trib .  .  .  http/URL",0,"activists demand release of jharkhand tribal leader: new delhi , nov <NUM> (ians) condemning the arrest of woman trib . . . http/url"
super useful productive work .  diwali ki lights humse banwa ke ghar le jate the . ,1,super useful productive work . diwali ki lights humse banwa ke ghar le jate the .
admin itne din me q post krte ho,1,admin itne din me q post krte ho
Ok sallu bhai,1,ok sallu bhai
delhi walo sawdhan ho jao. ye kejriwal is agent hai. delhi ko mullo ke haatho nilam kar dega.,0,delhi walo sawdhan ho jao. ye kejriwal is agent hai. delhi ko mullo ke haatho nilam kar dega.
i have a strong sense for who this guys might be ( not 100% sure though )  .  and looking at some of the past comments you should be able to at least make a good guess  . ,1,i have a strong sense for who this guys might be ( not <NUM>% sure though ) . and looking at some of the past comments you should be able to at least make a good guess .
bjp to introspect on unexpected defeat: #satishupadhyay http://t.co/77zr3pw5fe #aapstorm #aapsweep #aapkidilli #delhidecides,1,bjp to introspect on unexpected defeat: #satishupadhyay http://t.co/<NUM>zr<NUM>pw<NUM>fe #aapstorm #aapsweep #aapkidilli #delhidecides
guddu ki to halat kharab hai .  .  .  .  .  .  use to ab itni garmi lag rhi hogi jitni ki delhi ki summer me lagti h .  .  .  .  .  .  .  .  :p :d,2,guddu ki to halat kharab hai . . . . . . use to ab itni garmi lag rhi hogi jitni ki delhi ki summer me lagti h . . . . . . . . :p :d
Silver colour h ,2,silver colour h
ye pakistan k log vaise jokers bankar ku bethe h :-/ :o,0,ye pakistan k log vaise jokers bankar ku bethe h :-/ :o
hii,1,hii
"rvp shit on afc by moving to mufc ,  yet served them brilliantly over 8 years ,  will the fans give him shit on saturday ?  #cantwaittofindout ! ",2,"rvp shit on afc by moving to mufc , yet served them brilliantly over <NUM> years , will the fans give him shit on saturday ? #cantwaittofindout !"
"hahaha , muje aaj he pta chla tht he z a batsman basicaly , aj tak mje lgta tha he z a spinner . Lol . N yea uski shakal srsly kisi bndar ki copy lgti h . ",1,"hahaha , muje aaj he pta chla tht he z a batsman basicaly , aj tak mje lgta tha he z a spinner . lol . n yea uski shakal srsly kisi bndar ki copy lgti h ."
ME AAPKA BHOT BHOT BHOT Bd fan hun,2,me aapka bhot bhot bhot bd fan hun
Shadhe karlo bhai,1,shadhe karlo bhai
shabash .  .  .  .  !  !  !  !  ! ,2,shabash . . . . ! ! ! ! !
Aata hu to launga ,1,aata hu to launga
Sir kaise milega reply ;-( itne logo mein,1,sir kaise milega reply ;-( itne logo mein
"kyun  . hilana hai  ?  desh main stability hain  ,  development hain  ,  instability kyun chahiye  ?  pakistan se paisa liye ho kya ? ",0,"kyun . hilana hai ? desh main stability hain , development hain , instability kyun chahiye ? pakistan se paisa liye ho kya ?"
bodoland boy ki tarapse ak nomste .  ak jindabad . ,2,bodoland boy ki tarapse ak nomste . ak jindabad .
Ek baar ho sake toh baat kar lete hain ,1,ek baar ho sake toh baat kar lete hain
Hum bhuke mur rahe hai sir,0,hum bhuke mur rahe hai sir
rt @amusednawab: #landacquisitionbill krishi pradhan desh sunte sunte kaan se khoon nikal aaya. industry pradhan kab banega?,0,rt @amusednawab: #landacquisitionbill krishi pradhan desh sunte sunte kaan se khoon nikal aaya. industry pradhan kab banega?
"october is like the road to wrestlemania in reality .  halloween = royal rumble ,  thanksgiving = elimination chamber ,  christmas = wrestlemania . ",1,"october is like the road to wrestlemania in reality . halloween = royal rumble , thanksgiving = elimination chamber , christmas = wrestlemania ."
Are waise . ,1,are waise .
Muslim brothers sisters plz salman khan ko unlike karo aor lanat bhejo salman khan pr salman khan hindu higaya hai islo ezzat mat do bezaty karo Allah ki lanat hu is bodhy baba par,0,muslim brothers sisters plz salman khan ko unlike karo aor lanat bhejo salman khan pr salman khan hindu higaya hai islo ezzat mat do bezaty karo allah ki lanat hu is bodhy baba par
Abhi gussa aata h baad m hm yaad Bhinhi aayegye ?? ,1,abhi gussa aata h baad m hm yaad bhinhi aayegye ??
ram ram bhai ,0,ram ram bhai
Hi salman I wnt ur pic wid ur autograph.am ur big fan.my qustn is aap aisa kya krte h ki apki kbubsirti din b din badhti hi ja rhi h.,2,hi salman i wnt ur pic wid ur autograph.am ur big fan.my qustn is aap aisa kya krte h ki apki kbubsirti din b din badhti hi ja rhi h.
Or me bhi indian hu kon hota he ye jo musalman ko gali de or khud ko musalman kehta he jaheel,0,or me bhi indian hu kon hota he ye jo musalman ko gali de or khud ko musalman kehta he jaheel
i agree with you kamal poddar .  .  . ,2,i agree with you kamal poddar . . .
Chl dhyan rakh le yar ,0,chl dhyan rakh le yar
Bhai apks bazrangi bhaijan movi song verey nice,2,bhai apks bazrangi bhaijan movi song verey nice
Apke ashirwad sw ,2,apke ashirwad sw
Han ,1,han
#aapsweep how does a common man becum a chief minister without becoming a politician? he has 2 b ak either @anilkapoor or @arvindkejriwal,1,#aapsweep how does a common man becum a chief minister without becoming a politician? he has <NUM> b ak either @anilkapoor or @arvindkejriwal
"hmm ,  i think i am living the movie ground hog day ,  grandma jan and isaac are back again this weekend",2,"hmm , i think i am living the movie ground hog day , grandma jan and isaac are back again this weekend"
"m sirf doordarsan hi dekhta hun us par bhi sirf pavitr bandhan ,  ,  , ",2,"m sirf doordarsan hi dekhta hun us par bhi sirf pavitr bandhan , , ,"
Sala hrami muslmano ka dushman badnam kiya hai Muslman ko kalank hai kabrustan mai tera paisa kaam nahi aayega balki #aamaal aor sabse pahle #imaan #pakka hai ya nahi,0,sala hrami muslmano ka dushman badnam kiya hai muslman ko kalank hai kabrustan mai tera paisa kaam nahi aayega balki #aamaal aor sabse pahle #imaan #pakka hai ya nahi
superstar salman bhai,2,superstar salman bhai
Sahi pakde h bhaijaan😄😉😉😅😅😅 ,2,sahi pakde h bhaijaan😄😉😉😅😅😅
bhai ball lagta hai maruti gold ki hi hai .  . ,1,bhai ball lagta hai maruti gold ki hi hai . .
and i totally expected rahul gandhi to be on trends.. :) :p #aapkidilli #delhidecides,1,and i totally expected rahul gandhi to be on trends.. :) :p #aapkidilli #delhidecides
ian chappel greg chappel n indian chappal .  .  aaj teeno ko tv k saamne hi rehna hai .  . ,1,ian chappel greg chappel n indian chappal . . aaj teeno ko tv k saamne hi rehna hai . .
Acha  acha  sahi  hai ,0,acha acha sahi hai
@atulkasbekar @ankurtewari yaar koi aisi sarkaro ko samjhao ki insaan ko uski marzi ka khane pehenne to do .... #beefban,1,@atulkasbekar @ankurtewari yaar koi aisi sarkaro ko samjhao ki insaan ko uski marzi ka khane pehenne to do .... #beefban
six in one wala best hota tha,2,six in one wala best hota tha
"Efforts mat laga , tera kabhi koi boyfrnd ni ban sakta ......  / ",0,"efforts mat laga , tera kabhi koi boyfrnd ni ban sakta ...... /"
"best memory of my childhood ,  ,  ,  ,  , sega video game  .  .  .  .  .  :p",2,"best memory of my childhood , , , , , sega video game . . . . . :p"
delhi has voted for idealism without deciphering the ideology #delhidecides,1,delhi has voted for idealism without deciphering the ideology #delhidecides
phle to timing 3:30pm thi,1,phle to timing <NUM>:<NUM>pm thi
Toh kya decideg kiya ,2,toh kya decideg kiya
"after i tweeted about @someUSER gary carter photo #facepalm ,  they removed the mets photo .  2nd choice almost as bad ,  kid holding mets cap . ",1,"after i tweeted about @someuser gary carter photo #facepalm , they removed the mets photo . <NUM>nd choice almost as bad , kid holding mets cap ."
a place in the sun .  presenter: orange and lemon trees too person:that's our breakfast !  what the ? who has oranges and lemons for breakfast ? ,1,a place in the sun . presenter: orange and lemon trees too person:that's our breakfast ! what the ? who has oranges and lemons for breakfast ?
"rt @the_chauvinists: saudi arabia awards pig zakir naik,who encourage all muslims to be jihadist http://t.co/zy9qkbbjxk #myjihad #beefban …",0,"rt @the_chauvinists: saudi arabia awards pig zakir naik,who encourage all muslims to be jihadist http://t.co/zy<NUM>qkbbjxk #myjihad #beefban …"
apke gags ke wajah se hi hum jinda hai warna husne ka bahana aur bacha hi kya tha,0,apke gags ke wajah se hi hum jinda hai warna husne ka bahana aur bacha hi kya tha
tu du m proffesor kyu ni bn jata b.c ;) ,0,tu du m proffesor kyu ni bn jata b.c ;)
Salman bhai..... Ki haal chal,1,salman bhai..... ki haal chal
hindu Muslim ke naam pe paisa kama raha hai salman khan.. shame..,0,hindu muslim ke naam pe paisa kama raha hai salman khan.. shame..
"guddu english movies dekha kar  ,  kripa whi se aaegi :d",2,"guddu english movies dekha kar , kripa whi se aaegi :d"
essay jayada to dukandar ke pass hota h,2,essay jayada to dukandar ke pass hota h
itna kya khash h isme jo hamme ni,1,itna kya khash h isme jo hamme ni
Kaise ho aap papa sorry hum sogaye the abhi uthe h thodi der kardi na hum ne but koi baat nahi abhi baat karte hum dono haa.,1,kaise ho aap papa sorry hum sogaye the abhi uthe h thodi der kardi na hum ne but koi baat nahi abhi baat karte hum dono haa.
Han muje b lag ri thi ,0,han muje b lag ri thi
okkk ,1,okkk
"bjp-dost fail ho jaye to dukh hota hai, dost first aa jaye to aur zyada dukh hota hai. #aapsweep #aapstorm http://t.co/gdyelclzky",0,"bjp-dost fail ho jaye to dukh hota hai, dost first aa jaye to aur zyada dukh hota hai. #aapsweep #aapstorm http://t.co/gdyelclzky"
hahaha mast hai bro .  .  .  school summer vacation ki yaad dila di .  .  .  .  . ,2,hahaha mast hai bro . . . school summer vacation ki yaad dila di . . . . .
bhai ye naam udbilaoo kaha se sucha :d jabardasth hai  !  !  bhai ye naam tumhare dimag me first time kaise ayaaa iske piche ka secret btaooo ! ,2,bhai ye naam udbilaoo kaha se sucha :d jabardasth hai ! ! bhai ye naam tumhare dimag me first time kaise ayaaa iske piche ka secret btaooo !
pure bachio ki jaan lena hai kya aise pics dekha k,1,pure bachio ki jaan lena hai kya aise pics dekha k
bhaijan eid mubarak,1,bhaijan eid mubarak
"Hamare desh ko aage badhane vale, logo me utsah jagane, narendra modi ji ko bhagvan hamesha khush rakhe.",2,"hamare desh ko aage badhane vale, logo me utsah jagane, narendra modi ji ko bhagvan hamesha khush rakhe."
jai ho hinglish mata ki .  .  .  :d,2,jai ho hinglish mata ki . . . :d
"@someUSER @someUSER - chaps  ,  i'm still working on the pix from saturday v blaydon .  should be uploaded later tonight- phil",1,"@someuser @someuser - chaps , i'm still working on the pix from saturday v blaydon . should be uploaded later tonight- phil"
mujhe cold drink peeni hai .  .  !  !  !  :d :v,2,mujhe cold drink peeni hai . . ! ! ! :d :v
gareebguy: mere paas tv nahi hai par bacche bohat hain. woh maalik ke ghar se dekh ke aake mere saamne same khel ke dikhaate hain. #indvssa,1,gareebguy: mere paas tv nahi hai par bacche bohat hain. woh maalik ke ghar se dekh ke aake mere saamne same khel ke dikhaate hain. #indvssa
Han di.. ,1,han di..
zyada ni ho gaya yar ye  .  ?  ?  .  .  .  but thanks ab ye padhke neend toh aa gyi  .  :d ;),2,zyada ni ho gaya yar ye . ? ? . . . but thanks ab ye padhke neend toh aa gyi . :d ;)
Agar dono mae se ek b smjhdar ho to kuch b wrk kr skta hai 8 ) ,2,agar dono mae se ek b smjhdar ho to kuch b wrk kr skta hai <NUM> )
Didi. Abhi rmto akka nahi hai ki kab aaunga.. ,1,didi. abhi rmto akka nahi hai ki kab aaunga..
Ghr aayi jldi but whi ghr pe hun ,1,ghr aayi jldi but whi ghr pe hun
Mun kaha hori h ? ,0,mun kaha hori h ?
"@someUSER two birthday cakes !  one with jelly beans !  i wonder what kind of birthday cake the 2nd one was ?  goodnight kina ,  emi ,  and misa . ",1,"@someuser two birthday cakes ! one with jelly beans ! i wonder what kind of birthday cake the <NUM>nd one was ? goodnight kina , emi , and misa ."
"Hum sath sath sath sath sath hai  D Yayayayyayay ! 77,777 now . . * Geeli wali puppy to all   * * ",1,hum sath sath sath sath sath hai d yayayayyayay ! <NUM> now . . * geeli wali puppy to all * *
"Visit to gynae n kch paise khila yr .. Secret rahega sub ., n tu ladka hi h na itna darta ku h ?! ",1,"visit to gynae n kch paise khila yr .. secret rahega sub ., n tu ladka hi h na itna darta ku h ?!"
Aur puucha ke fourthg memberg kaha hai ? ? ,1,aur puucha ke fourthg memberg kaha hai ? ?
bhai aap tension mtlo humlog aap pr bht trust krte hai yeh films sab ki 300 crs kmayegi ...,2,bhai aap tension mtlo humlog aap pr bht trust krte hai yeh films sab ki <NUM> crs kmayegi ...
they better take joe pa to the pet semetary .  .  .  they may never win agdin,0,they better take joe pa to the pet semetary . . . they may never win agdin
super duper like .  yehi hota hai sab jagah :),2,super duper like . yehi hota hai sab jagah :)
sirjee last tym ke muddo ka kya hua,1,sirjee last tym ke muddo ka kya hua
"guddu ki mummy ne jab kaha  "" udbilao aaya hai ""  .  .  .  this was epic  !  !  ! ",2,"guddu ki mummy ne jab kaha "" udbilao aaya hai "" . . . this was epic ! ! !"
#aaj #sabhi #superhits film.dekhane chale #bbthiseid #superdupar film,1,#aaj #sabhi #superhits film.dekhane chale #bbthiseid #superdupar film
@gurmeetramrahim #blockbustermsg jaise papa g ek satsang ol sunna and ek dera aa k ru b ru aapko direct sunna ush mai mza kuch alag hi hai,2,@gurmeetramrahim #blockbustermsg jaise papa g ek satsang ol sunna and ek dera aa k ru b ru aapko direct sunna ush mai mza kuch alag hi hai
Kya hai yar ye!!,0,kya hai yar ye!!
good old days .  .  .  .  .  :d :d :d,2,good old days . . . . . :d :d :d
breezin' won the best pop instrumental performance at the 19th grammy awards,2,breezin' won the best pop instrumental performance at the <NUM>th grammy awards
bhai apna time barabaad mat karo kisi ko koi rply nai milne wala,0,bhai apna time barabaad mat karo kisi ko koi rply nai milne wala
"rt @sonusachdeva07: #msgyouthicon ai meri jindgi k malik mere dil pe apna hath rkh de,khi tujhse milne ki khushi me mera dm nikl na jae",1,"rt @sonusachdeva<NUM>: #msgyouthicon ai meri jindgi k malik mere dil pe apna hath rkh de,khi tujhse milne ki khushi me mera dm nikl na jae"
main filhal ghr ja rha hunn ,1,main filhal ghr ja rha hunn
salam bhai app ke Roza kasa ja raha ap ka,1,salam bhai app ke roza kasa ja raha ap ka
kisi ki mat suno bs meri suno un dono ko dhakka maro or mujhse setting kr lo n i'll never brk ur trust ... B-)  -P ,0,kisi ki mat suno bs meri suno un dono ko dhakka maro or mujhse setting kr lo n i'll never brk ur trust ... b-) -p
Abe hr nd accounts me checking ,1,abe hr nd accounts me checking
"lady gaga fears classmates: los angeles ,  nov 1 (ians) singer lady gaga is still in touch with some people from h .  .  .  http/URL",0,"lady gaga fears classmates: los angeles , nov <NUM> (ians) singer lady gaga is still in touch with some people from h . . . http/url"
